变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
4165,,捷拉奧拉,,,,base,4,5,,,,,,,4161,,config/portrait/speedranktouxiang/img_807_jlal@.png,config/portrait/jinglingtouxiang/img_807_jlal@.png,config/portrait/jinglingtouxiang1/img_807_jlal@.png,config/portrait/simple/img_807_jlal@.png,config/big_hero/normal/img_807_jlal@.png,1.1,{x=30;y=0},koudai_jielaaola/hero_jielaaola_hy.skel,,config/big_hero/standby/img_807_jlal@.png,,,<41615>,<41621>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.1,,,1.56,,,,,,,,,,,,,58.915,1.584,13.217,12.976,4.879,4.943,1.57,1.76,1.65,1.52,1.62,1.54,3290,1000,,,,,831,777,319,329,0,0,123,1000,15000,0,0,1000,3000,0,10000,0,10000,1000,500,1500,0,,,0,0,,,,,,
4166,,捷拉奧拉,,,,base,4,5,,,,,,,4161,,config/portrait/speedranktouxiang/img_807_jlal@.png,config/portrait/jinglingtouxiang/img_807_jlal@.png,config/portrait/jinglingtouxiang1/img_807_jlal@.png,config/portrait/simple/img_807_jlal@.png,config/big_hero/normal/img_807_jlal@.png,1.1,{x=30;y=0},koudai_jielaaola/hero_jielaaola_hy.skel,,config/big_hero/standby/img_807_jlal@.png,,,,<41621>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.1,,,1.56,,,,,,,,,,,,,58.915,1.584,13.217,12.976,4.879,4.943,1.57,1.76,1.65,1.52,1.62,1.54,3290,1000,,,,,831,777,319,329,0,0,123,1000,15000,0,0,1000,3000,0,10000,0,10000,1000,500,1500,0,,,0,0,,,,,,
4175,404404,,404404,404404,404404,base,4,17,,,,,,,4171,,config/portrait/speedranktouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang1/img_808_mlt@.png,config/portrait/simple/img_808_mlt@.png,config/big_hero/normal/img_808_mlt@.png,1.8,{x=40;y=-60},koudai_meilu/hero_meilu.skel,,config/big_hero/standby/img_808_mlt@.png,,,<41754;41756>,<41751;41752;41753>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2.5,,,1,,,,,,,,,,,,,53.286,1.233,11.855,11.615,4.751,4.43,1.42,1.37,1.48,1.48,1.45,1.38,2347,1000,400,,,,586,541,299,246,0,0,59,0,15000,1000,1500,0,3500,0,10000,0,10000,500,1000,0,500,,,0,0,,,,,,
4176,404404,,404404,404404,404404,base,4,17,,,,,,,4171,,config/portrait/speedranktouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang1/img_808_mlt@.png,config/portrait/simple/img_808_mlt@.png,config/big_hero/normal/img_808_mlt@.png,1.8,{x=40;y=-60},koudai_meilutan/hero_meilutan.skel,,config/big_hero/standby/img_808_mlt@.png,,,,,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2.5,,,1,,,,,,,,,,,,,65.294,1.233,14.098,12.335,5.65,4.751,1.74,1.37,1.76,1.76,1.54,1.48,4542,1000,400,,,,1016,661,471,299,0,0,59,0,15000,1000,1500,0,3500,0,10000,0,10000,500,1000,0,500,,,0,0,,,,,,
3602,Xerneas,哲爾尼亞斯,Xerneas,404404,404404,base,4,18,,,,,,,3601,,config/portrait/speedranktouxiang/img_716_zenys@.png,config/portrait/jinglingtouxiang/img_716_zenys@.png,config/portrait/jinglingtouxiang1/img_716_zenys@.png,config/portrait/simple/img_716_zenys@.png,config/big_hero/normal/img_716_zenys@.png,1.4,{x=10;y=0},koudai_jiemiludi/hero_jiemiludi.skel,,config/big_hero/standby/img_716_zenys@.png,,,,<36011;36012;36013>,,,,,,,,,,,,,,,,,,,,,,,63.793,1.449,13.777,13.777,5.104,5.136,1.7,1.61,1.72,1.59,1.72,1.6,4274,1000,400,,,,943,943,360,366,0,0,94,0,15000,1000,1000,0,3000,0,10000,0,10000,500,1500,0,500,,,0,0,500,,,500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,Bulbasaur,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,monster,2,4,8,,<99>,,,,1,,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang1/img_1_mwzz@.png,config/portrait/simple/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,1.4,{x=130;y=-30},koudai_miaowazhongzi/hero_miaowazhongzi.skel,,config/big_hero/standby/img_1_mwzz@.png,,{x=60;y=0},,<11;12;13>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2.1,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,Ivysaur,妙蛙草,Ivysaur,404404,이상해풀,monster,2,4,8,,<99>,,,,2,,config/portrait/speedranktouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang1/img_2_mwc@.png,config/portrait/simple/img_2_mwc@.png,config/big_hero/normal/img_2_mwc@.png,1.2,{x=40;y=70},koudai_miaowacao/hero_miaowacao.skel,,config/big_hero/standby/img_2_mwc@.png,,{x=60;y=0},,<21;22;23>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.1,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Venusaur,妙蛙花,Venusaur,404404,이상해꽃,monster,2,4,8,,<99>,,,,3,,config/portrait/speedranktouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang1/img_3_mwh@.png,config/portrait/simple/img_3_mwh@.png,config/big_hero/normal/img_3_mwh@.png,,{x=-10;y=20},koudai_miaowahua/hero_miaowahua.skel,,config/big_hero/standby/img_3_mwh@.png,,{x=60;y=0},,<31;32;33>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,Charmander,小火龍,Charmander,Tiểu hỏa long,파이리,monster,2,2,,,<99>,,,,11,,config/portrait/speedranktouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang1/img_4_xhl@.png,config/portrait/simple/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,koudai_xiaohuolong/hero_xiaohuolong.skel,,config/big_hero/standby/img_4_xhl@.png,,{x=50;y=-40},,<111;112;113>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.4,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,Charmeleon,火恐龍,Charmeleon,404404,리자드,monster,2,2,,,<99>,,,,12,,config/portrait/speedranktouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang1/img_5_hkl@.png,config/portrait/simple/img_5_hkl@.png,config/big_hero/normal/img_5_hkl@.png,1.1,{x=30;y=0},koudai_huokonglong/hero_huokonglong.skel,,config/big_hero/standby/img_5_hkl@.png,,{x=50;y=-40},,<121;122;123>,,,{'hitPos'={'x'=0;'y'=135};'lifePos'={'x'=0;'y'=290};'headPos'={'x'=0;'y'=250};'namePos'={'x'=0;'y'=290}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,Charizard,噴火龍,Charizard,404404,리자몽,monster,2,2,10,,<99>,,,,13,,config/portrait/speedranktouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang1/img_6_phl@.png,config/portrait/simple/img_6_phl@.png,config/big_hero/normal/img_6_phl@.png,1.1,{x=35;y=40},koudai_penhuolong/hero_penhuolong.skel,,config/big_hero/standby/img_6_phl@.png,,{x=50;y=-120},,<131;132;133>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,Mega Charizard X,超級噴火龍X,Mega Charizard X,404404,메가리자몽X,monster,2,2,15,,<99>,,,,14,,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},,<141;142;143>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,超級噴火龍Y,,404404,,monster,3,2,10,,<99>,,,,15,,config/portrait/speedranktouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang1/img_6_cjphly@.png,config/portrait/simple/img_6_cjphly@.png,config/big_hero/normal/img_6_cjphly@.png,,,koudai_penhuolongmegay/hero_penhuolongmegay.skel,,config/big_hero/standby/img_6_cjphly@.png,,{x=50;y=-120},,<141;142;143>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,Squirtle,傑尼龜,Squirtle,404404,꼬부기,monster,2,3,,,<99>,,,,21,,config/portrait/speedranktouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang1/img_7_jng@.png,config/portrait/simple/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,{x=25;y=10},koudai_jienigui/hero_jienigui.skel,,config/big_hero/standby/img_7_jng@.png,,{x=120;y=0},,<211;212;213>,,,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,Wartortle,卡咪龜,Wartortle,404404,어니부기,monster,2,3,,,<99>,,,,22,,config/portrait/speedranktouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang1/img_8_kmg@.png,config/portrait/simple/img_8_kmg@.png,config/big_hero/normal/img_8_kmg@.png,,{x=20;y=0},koudai_kamigui/hero_kamigui.skel,,config/big_hero/standby/img_8_kmg@.png,,{x=120;y=0},,<221;222;223>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.5,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,Blastoise,水箭龜,Blastoise,404404,거북왕,monster,2,3,,,<99>,,,,23,,config/portrait/speedranktouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang1/img_9_sjg@.png,config/portrait/simple/img_9_sjg@.png,config/big_hero/normal/img_9_sjg@.png,1.2,,koudai_shuijiangui/hero_shuijiangui.skel,,config/big_hero/standby/img_9_sjg@.png,,{x=60;y=-50},,<231;232;233>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,Caterpie,綠毛蟲,Caterpie,404404,캐터피,monster,1,12,,,<99>,,,,31,,config/portrait/speedranktouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang1/img_10_lmc@.png,config/portrait/simple/img_10_lmc@.png,config/big_hero/normal/img_10_lmc@.png,0.8,{x=10;y=20},koudai_lvmaochong/hero_lvmaochong.skel,,config/big_hero/standby/img_10_lmc@.png,,{x=120;y=0},,<311;312;313>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.4,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metapod,鐵甲蛹,Metapod,404404,,monster,1,12,,,<99>,,,,32,,config/portrait/speedranktouxiang/img_11_tjy@.png,config/portrait/jinglingtouxiang/img_11_tjy@.png,config/portrait/jinglingtouxiang1/img_11_tjy@.png,config/portrait/simple/img_11_tjy@.png,config/big_hero/normal/img_11_tjy@.png,,,koudai_badahu/hero_badahu.skel,,config/big_hero/standby/img_11_tjy@.png,,{x=80;y=0},,<311;312;313>,,,,,,,1.5,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,Butterfree,巴大蝶,Butterfree,404404,버터플,monster,1,12,10,,<99>,,,,33,,config/portrait/speedranktouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang1/img_12_bdd@.png,config/portrait/simple/img_12_bdd@.png,config/big_hero/normal/img_12_bdd@.png,,{x=40;y=20},koudai_badahu/hero_badahu.skel,,config/big_hero/standby/img_12_bdd@.png,,{x=80;y=0},,<311;312;313>,,,,,,,1.9,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weedle,獨角蟲,Weedle,404404,,monster,2,12,8,,<99>,,,,41,,config/portrait/speedranktouxiang/img_13_djc@.png,config/portrait/jinglingtouxiang/img_13_djc@.png,config/portrait/jinglingtouxiang1/img_13_djc@.png,config/portrait/simple/img_13_djc@.png,config/big_hero/normal/img_13_djc@.png,,,koudai_dazhenfeng/hero_dazhenfeng.skel,,config/big_hero/standby/img_13_djc@.png,,{x=100;y=-50},,<>,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kakuna,鐵殼蛹,Kakuna,404404,,monster,2,12,8,,<99>,,,,42,,config/portrait/speedranktouxiang/img_14_tky@.png,config/portrait/jinglingtouxiang/img_14_tky@.png,config/portrait/jinglingtouxiang1/img_14_tky@.png,config/portrait/simple/img_14_tky@.png,config/big_hero/normal/img_14_tky@.png,,,koudai_dazhenfeng/hero_dazhenfeng.skel,,config/big_hero/standby/img_14_tky@.png,,{x=100;y=-50},,<>,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,Beedrill,大針蜂,Beedrill,404404,독침붕,monster,1,12,8,,<99>,,,,41,,config/portrait/speedranktouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang1/img_15_dzf@.png,config/portrait/simple/img_15_dzf@.png,config/big_hero/normal/img_15_dzf@.png,1.2,,koudai_dazhenfeng/hero_dazhenfeng.skel,,config/big_hero/standby/img_15_dzf@.png,,{x=100;y=-50},,<>,,,,,,,2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,Mega Beedrill,超大針蜂,Mega Beedrill,404404,메가독침붕,monster,1,12,8,,<99>,,,,44,,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,,,koudai_dazhenfengmega/hero_dazhenfengmega.skel,,config/big_hero/standby/img_15_cjdzf@.png,,{x=100;y=-50},,<441;442;443>,,,,,,,1.7,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,Pidgey,波波,Pidgey,404404,구구,monster,2,1,10,,<99>,,,,51,,config/portrait/speedranktouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang1/img_16_bb@.png,config/portrait/simple/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,1.1,{x=-15;y=10},koudai_bobo/hero_bobo.skel,,config/big_hero/standby/img_16_bb@.png,,{x=150;y=0},,<511;512;513>,,,{'hitPos'={'x'=0;'y'=190};'lifePos'={'x'=0;'y'=400};'headPos'={'x'=0;'y'=360};'namePos'={'x'=0;'y'=400}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,Pidgeotto,比比鳥,Pidgeotto,404404,피죤,monster,2,1,10,,<99>,,,,52,,config/portrait/speedranktouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang1/img_17_bbn@.png,config/portrait/simple/img_17_bbn@.png,config/big_hero/normal/img_17_bbn@.png,1.1,{x=10;y=15},koudai_bibiniao/hero_bibiniao.skel,,config/big_hero/standby/img_17_bbn@.png,,{x=100;y=0},,<521;522;523>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,Pidgeot,大比鳥,Pidgeot,404404,피죤투,monster,2,1,10,,<99>,,,,53,,config/portrait/speedranktouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang1/img_18_dbn@.png,config/portrait/simple/img_18_dbn@.png,config/big_hero/normal/img_18_dbn@.png,1.5,{x=60;y=60},koudai_dabiniao/hero_dabiniao.skel,,config/big_hero/standby/img_18_dbn@.png,,{x=120;y=0},,<531;532;533>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.3,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,Rattata,小拉達,Rattata,404404,꼬렛,monster,1,1,,,<99>,,,,61,,config/portrait/speedranktouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang1/img_19_xld@.png,config/portrait/simple/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,{x=10;y=35},koudai_xiaolada/hero_xiaolada.skel,,config/big_hero/standby/img_19_xld@.png,,{x=100;y=0},,<611;612;613>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.7,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,Raticate,拉達,Raticate,404404,레트라,monster,1,1,,,<99>,,,,62,,config/portrait/speedranktouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang1/img_20_ld@.png,config/portrait/simple/img_20_ld@.png,config/big_hero/normal/img_20_ld@.png,0.95,{x=20;y=10},koudai_lada/hero_lada.skel,,config/big_hero/standby/img_20_ld@.png,,{x=100;y=0},,<621;622;623>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.2,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,Spearow,烈雀,Spearow,404404,깨비참,monster,1,1,10,,<99>,,,,71,,config/portrait/speedranktouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang1/img_21_lq@.png,config/portrait/simple/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,,{x=20;y=15},koudai_lieque/hero_lieque.skel,,config/big_hero/standby/img_21_lq@.png,,{x=100;y=0},,<711;712;713>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,1.4,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,Fearow,大嘴雀,Fearow,404404,깨비드릴조,monster,1,1,10,,<99>,,,,72,,config/portrait/speedranktouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang1/img_22_dzq@.png,config/portrait/simple/img_22_dzq@.png,config/big_hero/normal/img_22_dzq@.png,1.6,{x=30;y=100},koudai_dazuique/hero_dazuique.skel,,config/big_hero/standby/img_22_dzq@.png,,{x=100;y=0},,<721;722;723>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.1,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,Ekans,阿柏蛇,Ekans,404404,아보,monster,1,8,,,<99>,,,,81,,config/portrait/speedranktouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang1/img_23_abs@.png,config/portrait/simple/img_23_abs@.png,config/big_hero/normal/img_23_abs@.png,,{x=10;y=15},koudai_aboshe/hero_aboshe.skel,,config/big_hero/standby/img_23_abs@.png,,{x=150;y=0},,<811;812;813>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082,Arbok,阿柏怪,Arbok,404404,아보크,monster,1,8,,,<99>,,,,82,,config/portrait/speedranktouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang1/img_24_abg@.png,config/portrait/simple/img_24_abg@.png,config/big_hero/normal/img_24_abg@.png,,{x=10;y=5},koudai_aboguai/hero_aboguai.skel,,config/big_hero/standby/img_24_abg@.png,,{x=150;y=0},,<821;822;823>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.4,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091,Pichu,皮丘,Pichu,404404,피츄,monster,2,5,,,<99>,,,,91,,config/portrait/speedranktouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang1/img_172_pq@.png,config/portrait/simple/img_172_pq@.png,config/big_hero/normal/img_172_pq@.png,,{x=30;y=35},koudai_piqiu/hero_piqiu.skel,,config/big_hero/standby/img_172_pq@.png,,{x=140;y=-20},,<911;912;913>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.1,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,Pikachu,皮卡丘,Pikachu,404404,피카츄,monster,2,5,,,<99>,,,,92,,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1.1,{x=-20;y=30},koudai_pikaqiu/hero_pikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,,{x=140;y=-20},,<921;922;923>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
